"id1","id2","lat","lon","el"
1771,"SA",50.6833333333333,-119.216666666667,850
1772,"SA",50.6833333333333,-119.216666666667,850
1773,"SA",50.6833333333333,-119.216666666667,850
1774,"SA",50.6833333333333,-119.216666666667,960
1775,"SA",50.6833333333333,-119.216666666667,960
1776,"SA",50.6833333333333,-119.216666666667,960
1777,"SA",50.7,-119.216666666667,650
1778,"SA",50.7,-119.216666666667,650
1779,"SA",50.7,-119.216666666667,650
1780,"SA",50.6666666666667,-119.266666666667,850
1781,"SA",50.6666666666667,-119.266666666667,850
1782,"SA",50.6666666666667,-119.3,600
1783,"SA",50.6666666666667,-119.3,600
1784,"SA",50.6666666666667,-119.266666666667,850
1785,"SA",50.6666666666667,-119.266666666667,850
1786,"SA",50.6666666666667,-119.266666666667,850
1787,"SA",50.6666666666667,-119.266666666667,850
1788,"SA",50.6666666666667,-119.266666666667,850
1789,"SA",50.6666666666667,-119.283333333333,750
1790,"SA",50.6666666666667,-119.283333333333,750
1791,"NCH",53.9666666666667,-124.533333333333,750
1792,"NCH",53.9666666666667,-124.533333333333,750
1793,"NCH",53.9666666666667,-124.533333333333,750
1794,"NCH",53.9666666666667,-124.533333333333,750
1795,"NCH",53.9666666666667,-124.533333333333,750
1796,"NCH",53.9666666666667,-124.533333333333,750
1797,"NCH",53.9666666666667,-124.583333333333,750
1798,"NCH",53.9666666666667,-124.583333333333,750
1799,"NCH",53.9666666666667,-124.583333333333,750
1800,"NCH",53.9666666666667,-124.583333333333,750
1801,"NCH",53.9666666666667,-124.566666666667,750
1802,"NCH",53.9666666666667,-124.566666666667,750
1803,"NCH",53.9666666666667,-124.566666666667,750
1804,"NCH",53.9666666666667,-124.566666666667,750
1805,"NCH",53.9666666666667,-124.566666666667,750
1806,"NCH",53.9666666666667,-124.55,750
1807,"NCH",53.9666666666667,-124.55,750
1808,"NCH",53.9666666666667,-124.55,750
1809,"NCH",53.9666666666667,-124.55,750
1810,"NCH",53.9666666666667,-124.55,750
1811,"NCH",53.9666666666667,-124.55,750
1812,"NCH",53.9666666666667,-124.566666666667,750
1813,"MGR",53.8833333333333,-122.133333333333,725
1814,"MGR",53.8833333333333,-122.133333333333,725
