Site,id,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
"Sorrento","site",50.8685889544008,-119.451671522659,506,-2.3,0.9,6.7,14.6,20.3,23,27.2,25.8,20.3,12,4.1,0.5,-8.8,-7.6,-3.5,0.7,4.9,8.7,10.8,9.9,6.4,2.3,-2.2,-5.2,-5.6,-3.3,1.6,7.7,12.6,15.9,19,17.9,13.4,7.2,0.9,-2.3,59,47,29,26,35,44,33,35,36,42,49,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Kalamalka","site",50.235700955307,-119.276634080816,486,-1.5,1.5,7.6,15.1,20.6,23.6,28.2,26.7,21.4,13.1,5.1,1.2,-8.1,-6.5,-2.7,1.8,6,9.6,11.7,10.8,7.2,2.7,-1.9,-5,-4.8,-2.5,2.4,8.4,13.3,16.6,20,18.8,14.3,7.9,1.6,-1.9,41,33,21,20,28,34,26,26,31,32,35,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Vernon","site",50.229950432172,-119.320136897136,525,-1.5,1.6,7.6,14.9,20.3,23.4,27.9,26.4,21.1,13,5,1.1,-8.2,-6.7,-2.9,1.6,5.9,9.4,11.5,10.7,7.1,2.6,-2,-5.1,-4.8,-2.6,2.3,8.2,13.1,16.4,19.7,18.6,14.1,7.8,1.5,-2,40,34,22,20,29,35,26,27,30,32,34,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PRT","site",50.3870923312565,-119.29182887665,464,-1.8,1.3,7.5,15.1,20.5,23.6,27.9,26.4,21.3,12.9,4.8,0.9,-8.7,-7.1,-3.2,1.3,5.5,9.1,11.1,10.1,6.5,2.3,-2.3,-5.4,-5.2,-2.9,2.2,8.2,13,16.4,19.5,18.2,13.9,7.6,1.3,-2.2,46,36,24,21,30,35,27,27,33,37,39,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PGTIS","site",53.7683909350725,-122.715779753023,598,-5.2,-0.8,4.9,11.7,18.1,20.8,23.4,22.2,17.6,10.7,1.9,-3,-15.5,-13.1,-7.9,-2.4,2.1,5.9,7.6,6.4,3,-0.3,-6.4,-11.6,-10.3,-7,-1.5,4.6,10.1,13.4,15.5,14.3,10.3,5.2,-2.2,-7.3,56,48,33,25,38,60,56,59,53,55,55,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Tolko","site",50.3968272593781,-119.209891311872,522,-2,1.2,7.2,14.9,20.3,23.4,27.7,26.4,21.2,12.7,4.5,0.7,-9.1,-7.5,-3.6,1,5.2,8.8,10.8,9.8,6.3,2.1,-2.6,-5.9,-5.5,-3.1,1.8,7.9,12.8,16.1,19.2,18.1,13.7,7.4,1,-2.6,49,39,26,23,32,40,28,28,36,38,42,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"KettleRiver","site",49.2226589402711,-118.933972154881,632,-2.2,1.7,7.9,15.3,20.5,23.4,28.6,27.7,22.9,14.1,3.9,-0.5,-10.1,-8.5,-4.4,-0.1,4.1,7.1,8.9,7.8,4.2,0.3,-4,-7.7,-6.2,-3.4,1.8,7.6,12.3,15.3,18.8,17.8,13.6,7.2,-0.1,-4.1,41,32,19,22,36,48,20,26,23,27,33,42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Border","site",59.532,-127.791,671,-16,-9.8,-1.4,6.9,14.9,19.5,21.7,19.9,14.2,5.7,-6.8,-14.3,-24.9,-21.1,-15.8,-6.1,0,4.7,7.1,5.2,1.4,-3.6,-15.2,-21.6,-20.4,-15.5,-8.6,0.4,7.5,12.1,14.4,12.5,7.8,1.1,-11,-17.9,37,29,19,18,30,49,57,47,35,38,40,42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Trench","site",56.155,-124.108,659,-10.4,-5.8,0.4,7.8,14.9,18.9,21,20,15.1,7.6,-1.3,-7.5,-18.5,-15.8,-10.8,-3.8,1,4.9,7.2,5.9,2.3,-1.4,-8.5,-14.3,-14.5,-10.8,-5.2,2,8,11.9,14.1,13,8.7,3.1,-4.9,-10.9,41,32,26,21,30,47,50,41,44,43,41,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Sorrento","grid",50.84375,-119.46875,796,-3,0.4,5.5,12.7,18.3,21,25.2,23.9,18.9,11,2.9,-0.6,-10.3,-9.1,-5,-0.5,3.6,7.3,9.5,8.8,5.4,1,-3.8,-6.9,-6.6,-4.3,0.2,6.1,10.9,14.1,17.3,16.3,12.2,6,-0.5,-3.8,63,53,34,29,39,51,37,39,40,48,55,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Kalamalka","grid",50.21875,-119.28125,395,-1.6,1.6,7.9,15.6,21.2,24.3,28.8,27.3,21.7,13.5,5,1.1,-7.8,-6.3,-2.5,2,6.4,10,12,11.2,7.3,2.7,-1.6,-4.7,-4.7,-2.3,2.7,8.8,13.8,17.2,20.4,19.2,14.5,8.1,1.7,-1.8,40,33,21,20,28,34,26,26,31,32,34,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Vernon","grid",50.21875,-119.34375,739,-2.1,0.8,6.5,13.5,18.8,21.9,26.4,25,19.9,12,4.1,0.4,-9,-7.5,-3.9,0.7,5,8.5,10.7,10.1,6.5,2.1,-2.9,-6,-5.5,-3.3,1.3,7.1,11.9,15.2,18.6,17.6,13.2,7.1,0.6,-2.8,41,37,22,21,33,41,27,28,30,33,35,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PRT","grid",50.40625,-119.28125,548,-2.2,1,7,14.7,20.2,23.2,27.5,26.1,21,12.7,4.2,0.4,-9,-7.5,-3.6,1,5.2,8.8,10.8,9.8,6.3,2.2,-2.6,-5.8,-5.6,-3.3,1.7,7.9,12.7,16,19.1,17.9,13.7,7.4,0.8,-2.7,48,38,26,22,31,37,28,28,34,38,41,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PGTIS","grid",53.78125,-122.71875,597,-5.2,-0.8,4.9,11.7,18.1,20.8,23.3,22.2,17.6,10.7,1.9,-3,-15.4,-13.1,-7.8,-2.4,2.2,6,7.7,6.5,3.1,-0.3,-6.3,-11.6,-10.3,-7,-1.5,4.7,10.2,13.4,15.5,14.3,10.3,5.2,-2.2,-7.3,56,48,34,25,38,59,55,59,53,54,55,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Tolko","grid",50.40625,-119.21875,405,-2,1.2,7.6,15.4,20.8,23.8,28.3,27,21.6,13,4.7,0.6,-8.8,-7.3,-3.3,1.2,5.4,9,10.9,9.9,6.3,2.1,-2.3,-5.5,-5.4,-3.1,2.1,8.3,13.1,16.4,19.6,18.4,13.9,7.5,1.2,-2.4,45,37,24,22,31,36,28,28,34,36,38,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"KettleRiver","grid",49.21875,-118.90625,836,-2.7,1.2,6.5,13.7,18.9,21.8,27.1,26.2,21.5,13,3.2,-1.2,-11.1,-9.4,-5.3,-1.1,3,6,7.8,6.9,3.5,-0.5,-4.9,-8.6,-6.9,-4.1,0.6,6.3,11,13.9,17.4,16.6,12.5,6.3,-0.9,-4.9,43,35,22,23,38,52,22,26,25,31,36,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Border","grid",59.53125,-127.78125,678,-16,-9.7,-1.4,6.9,14.9,19.4,21.7,19.8,14.2,5.7,-6.7,-14.2,-24.8,-21,-15.8,-6.1,0,4.7,7,5.2,1.4,-3.6,-15.2,-21.6,-20.4,-15.4,-8.6,0.4,7.4,12.1,14.4,12.5,7.8,1.1,-11,-17.9,37,29,20,18,29,49,57,47,35,38,40,42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Trench","grid",56.15625,-124.09375,683,-10.3,-5.8,0.4,7.7,14.8,18.7,20.9,19.9,15,7.5,-1.3,-7.5,-18.5,-15.8,-10.9,-3.8,0.9,4.8,7.1,5.8,2.2,-1.4,-8.5,-14.3,-14.4,-10.8,-5.2,1.9,7.9,11.7,14,12.9,8.6,3,-4.9,-10.9,41,32,26,21,32,47,50,42,45,43,41,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
