Site,id,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
"Sorrento","site",50.8685889544008,-119.451671522659,506,-2,1.8,7.3,13.7,18.9,23.1,26.2,25.6,19.3,11.4,3.6,-1.2,-7.9,-5.7,-2.8,0.9,5,9.3,11.2,10.8,6.6,2.2,-2.3,-6.4,-5,-1.9,2.2,7.3,12,16.2,18.7,18.2,13,6.8,0.6,-3.8,66,41,29,33,40,38,44,45,43,37,56,79,2,5,10,15,18,20,21,18,12,6,2,1
"Kalamalka","site",50.235700955307,-119.276634080816,486,-1,2.7,8.3,14.3,19.4,23.9,27.3,26.7,20.6,12.6,4.7,-0.4,-6.9,-4.3,-1.6,2.2,6.2,10.2,12.2,11.8,7.6,2.7,-1.6,-5.9,-3.9,-0.8,3.3,8.2,12.8,17,19.7,19.3,14.1,7.6,1.5,-3.1,43,27,20,27,31,30,32,36,38,26,38,51,2.1,5.9,10.1,15.1,19,20.9,22,18.1,12.1,7.1,2.9,1.9
"Vernon","site",50.229950432172,-119.320136897136,525,-1,2.7,8.3,14.1,19.1,23.6,27,26.5,20.4,12.5,4.6,-0.5,-7,-4.5,-1.8,2,6,10,12,11.7,7.5,2.6,-1.7,-6,-4,-0.9,3.2,8,12.6,16.8,19.5,19.1,13.9,7.5,1.4,-3.3,42,28,20,27,33,32,32,37,37,26,37,53,2,5,10,15,18,20,21,17,11,6,2,1
"PRT","site",50.3870923312565,-119.29182887665,464,-1.4,2.4,8.2,14.3,19.3,23.7,27,26.4,20.5,12.4,4.4,-0.7,-7.6,-5,-2.2,1.7,5.7,9.7,11.6,11,6.9,2.2,-2.1,-6.4,-4.5,-1.3,3,8,12.5,16.7,19.3,18.7,13.7,7.3,1.2,-3.6,49,30,23,28,34,31,34,36,40,31,43,57,2,6,10,15,19,21,22,18,12,7,2.5,2
"PGTIS","site",53.7683909350725,-122.715779753023,598,-5.1,0.4,5.4,11.3,16.8,20.3,22.8,22.1,16.7,10.2,0.9,-4.2,-14.1,-10.4,-6.3,-1.8,2.6,6.3,8.1,7.4,3.6,0.2,-6.4,-12.2,-9.6,-5,-0.4,4.7,9.7,13.3,15.5,14.8,10.2,5.2,-2.7,-8.2,68,44,37,27,44,61,56,58,58,65,59,63,2,5,10.9,16,19,21,21,17.2,11.2,6,3,2
"Tolko","site",50.3968272593781,-119.209891311872,522,-1.5,2.3,7.9,14,19.1,23.5,26.7,26.3,20.4,12.1,4.1,-0.9,-7.9,-5.4,-2.6,1.4,5.4,9.4,11.3,10.8,6.7,2.1,-2.4,-6.8,-4.7,-1.6,2.6,7.7,12.2,16.5,19,18.6,13.5,7.1,0.9,-3.9,52,32,25,30,36,35,35,38,44,31,46,64,2,5,9.2,14,18,20,21,17,11,5.2,2,1
"KettleRiver","site",49.2226589402711,-118.933972154881,632,-1.7,3,8.6,14.4,19.4,23.6,27.7,27.5,22,13.6,3.7,-1.6,-8.9,-6.4,-3.3,0.3,4.1,7.8,9.5,9.1,4.8,0.4,-3.4,-8,-5.3,-1.7,2.6,7.4,11.8,15.7,18.6,18.3,13.4,7,0.2,-4.8,40,28,20,24,42,39,23,39,24,20,34,53,2,6,10,15,19,20.9,22,18,12,6,2,1
"Border","site",59.532,-127.791,671,-15.4,-8.9,-1.2,6.8,14.1,19.3,21.3,19.8,13.6,5.3,-7.5,-14.2,-23.4,-19.8,-15.3,-6,-0.2,4.9,7.4,5.6,1.4,-3.6,-16,-21.3,-19.4,-14.4,-8.3,0.4,7,12.1,14.4,12.7,7.5,0.9,-11.7,-17.7,40,27,20,19,38,51,64,52,40,41,36,41,1.8,4,9.8,16,19,20,18,15,9,4,2,1
"Trench","site",56.155,-124.108,659,-9.7,-4.6,0.8,7.7,13.9,18.7,20.7,19.8,14.2,7.3,-1.7,-7.7,-17.1,-13.6,-9.5,-3.1,1.3,5.3,7.7,6.7,2.7,-0.7,-8.4,-14.1,-13.4,-9.1,-4.4,2.3,7.6,12,14.2,13.3,8.5,3.3,-5,-10.9,46,33,29,20,36,50,56,50,46,52,42,48,2,5,11,16,19,21,20,17,11,5,3,2
"Sorrento","grid",50.84375,-119.46875,796,-2.7,1.3,6.1,11.9,17,21,24.2,23.8,17.9,10.3,2.3,-2.4,-9.4,-7.2,-4.3,-0.3,3.6,7.7,9.9,9.6,5.7,0.9,-3.9,-8.1,-6,-2.9,0.9,5.8,10.3,14.4,17.1,16.7,11.8,5.6,-0.8,-5.2,71,45,33,38,45,44,49,49,48,42,63,86,1.3,4.3,9.3,15,18,20,20.8,17,11,5.3,1.3,1
"Kalamalka","grid",50.21875,-119.28125,395,-1.1,2.7,8.6,14.8,20,24.5,27.9,27.3,21,13,4.6,-0.5,-6.6,-4.1,-1.4,2.4,6.6,10.6,12.5,12.2,7.7,2.7,-1.3,-5.6,-3.8,-0.7,3.6,8.6,13.3,17.6,20.2,19.7,14.4,7.9,1.6,-3,42,27,20,27,31,30,32,36,38,26,37,51,2.2,6,10.2,15.2,19,20.8,22,18.2,12.2,7,3,2
"Vernon","grid",50.21875,-119.34375,739,-1.6,1.9,7.2,12.7,17.7,22.1,25.5,25,19.2,11.6,3.7,-1.2,-7.8,-5.3,-2.8,1.1,5.1,9,11.2,11.1,6.9,2.2,-2.6,-6.9,-4.7,-1.7,2.2,6.9,11.4,15.6,18.3,18.1,13,6.9,0.6,-4.1,44,30,21,28,37,37,34,38,37,27,38,56,2.6,6.1,10.9,15.9,19.7,21.1,22.1,18.7,13.5,7.5,3,1.9
"PRT","grid",50.40625,-119.28125,548,-1.8,2,7.7,13.9,19,23.4,26.5,26,20.2,12.1,3.8,-1.3,-7.9,-5.4,-2.6,1.4,5.4,9.4,11.2,10.7,6.7,2.1,-2.4,-6.8,-4.9,-1.7,2.6,7.7,12.2,16.4,18.9,18.4,13.4,7.1,0.7,-4,51,32,25,30,35,33,35,38,42,32,45,61,2.5,6,10.5,15.5,19,20.7,22,18.5,13.1,7.5,2.7,2
"PGTIS","grid",53.78125,-122.71875,597,-5.1,0.4,5.4,11.3,16.8,20.3,22.8,22.1,16.6,10.2,0.9,-4.2,-14.1,-10.4,-6.2,-1.8,2.7,6.4,8.2,7.5,3.7,0.2,-6.3,-12.2,-9.6,-5,-0.4,4.8,9.8,13.3,15.5,14.8,10.2,5.2,-2.7,-8.2,68,44,38,27,44,60,55,58,58,65,59,64,2,5,11,16,19,21,21,18,12,6,3,2
"Tolko","grid",50.40625,-119.21875,405,-1.6,2.2,8.2,14.6,19.6,23.9,27.3,26.9,20.8,12.4,4.3,-1,-7.7,-5.2,-2.3,1.5,5.6,9.6,11.4,10.9,6.6,2.1,-2.1,-6.5,-4.6,-1.5,3,8.1,12.6,16.8,19.3,18.9,13.7,7.2,1.1,-3.7,48,30,23,29,35,32,35,38,41,30,42,57,2,5,10,14.8,18,20,21,17.8,11.8,6,2,1
"KettleRiver","grid",49.21875,-118.90625,836,-2.2,2.5,7.2,12.8,17.8,22.1,26.1,26,20.6,12.5,3.1,-2.2,-9.9,-7.3,-4.2,-0.7,3.1,6.7,8.4,8.1,4.1,-0.4,-4.3,-9,-6.1,-2.4,1.5,6.1,10.4,14.4,17.2,17,12.4,6.1,-0.6,-5.6,43,30,24,26,44,42,25,40,26,22,37,56,2.3,5.3,10.3,15.3,18.3,21.3,22.3,18.3,12.3,6.3,2.3,1.3
"Border","grid",59.53125,-127.78125,678,-15.4,-8.8,-1.2,6.8,14.1,19.2,21.3,19.7,13.6,5.3,-7.4,-14.1,-23.4,-19.8,-15.2,-6,-0.2,4.9,7.3,5.6,1.4,-3.6,-16,-21.3,-19.4,-14.3,-8.2,0.4,6.9,12,14.3,12.7,7.5,0.8,-11.7,-17.7,40,27,20,19,37,51,64,52,40,41,36,40,1.8,4.1,9.8,16.1,19.1,20.2,18.3,15.1,9.3,4.1,2,1
"Trench","grid",56.15625,-124.09375,683,-9.6,-4.6,0.8,7.7,13.8,18.5,20.6,19.7,14.2,7.2,-1.7,-7.8,-17.1,-13.6,-9.6,-3.1,1.2,5.2,7.6,6.6,2.6,-0.8,-8.4,-14.1,-13.4,-9.1,-4.4,2.3,7.5,11.9,14.1,13.2,8.4,3.2,-5.1,-11,46,33,29,20,38,51,56,51,48,52,43,50,2,5,11,16,19,21,20,17,11,5,2.2,2
