Site,id,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
"Sorrento","site",50.8685889544008,-119.451671522659,506,-0.6,2,7.7,14,19,22.5,26.4,25.7,19.4,11,3.7,-0.8,-5.6,-4.8,-1.8,1.4,5.4,9.4,11.8,11,6.8,2.4,-1.6,-5.5,-3.1,-1.4,3,7.7,12.2,16,19.1,18.4,13.1,6.7,1,-3.1,59,39,33,35,48,52,45,38,43,47,66,67,2,7,9,14,17,16,18,18,12.5,6.3,0,1
"Kalamalka","site",50.235700955307,-119.276634080816,486,0.3,3.1,8.9,14.7,19.6,23.5,27.6,27,21,12.3,4.9,0,-4.8,-3.5,-0.6,2.7,6.7,10.4,12.9,12.4,7.9,2.9,-1,-5,-2.2,-0.2,4.1,8.7,13.2,16.9,20.2,19.7,14.4,7.6,1.9,-2.5,38,25,22,27,34,41,33,29,36,33,43,42,2.1,7,9.1,14.1,17,15.9,18,18.2,12.1,6.1,0.9,1.9
"Vernon","site",50.229950432172,-119.320136897136,525,0.4,3.1,8.9,14.5,19.3,23.2,27.3,26.8,20.7,12.2,4.8,-0.1,-4.9,-3.7,-0.8,2.5,6.6,10.2,12.8,12.2,7.8,2.8,-1.2,-5.2,-2.3,-0.3,4,8.5,12.9,16.7,20,19.5,14.3,7.5,1.8,-2.6,37,26,22,27,37,43,33,30,35,33,42,43,2,6.1,9,14,16,15,17,17,11,5,0,1
"PRT","site",50.3870923312565,-119.29182887665,464,0,2.7,8.7,14.6,19.5,23.3,27.2,26.7,20.8,12.1,4.6,-0.3,-5.4,-4.2,-1.1,2.2,6.1,9.9,12.2,11.4,7.1,2.5,-1.4,-5.5,-2.7,-0.8,3.8,8.4,12.8,16.6,19.7,19,14,7.3,1.6,-2.9,44,28,25,29,39,43,35,30,39,39,49,48,2,7.3,9,14,17,16,18,18,12,6,0.5,2
"PGTIS","site",53.7683909350725,-122.715779753023,598,-3.2,0.7,6.2,12,17.6,20.9,23.3,22.7,17.3,9.9,1.5,-3.1,-11.8,-9.7,-5.5,-1.4,3.1,6.9,8.6,7.6,3.7,0,-5.5,-10.9,-7.5,-4.5,0.4,5.3,10.4,13.9,16,15.2,10.5,4.9,-2,-7,57,35,28,33,44,64,59,50,55,61,56,47,2.9,7,12,17.9,20,17,19,15.2,13.1,6.9,3,2
"Tolko","site",50.3968272593781,-119.209891311872,522,-0.2,2.6,8.4,14.4,19.2,23,26.9,26.5,20.6,11.8,4.3,-0.5,-5.7,-4.6,-1.6,1.9,5.9,9.6,11.9,11.2,6.9,2.3,-1.7,-5.9,-2.9,-1,3.4,8.2,12.5,16.3,19.4,18.9,13.8,7,1.3,-3.2,47,30,28,31,41,48,37,32,42,40,53,54,2,6.3,8.2,13,16,15,17,17.1,11,4.2,0,1
"KettleRiver","site",49.2226589402711,-118.933972154881,632,-0.4,3.5,9.4,14.8,19.5,23.2,27.8,27.8,22.6,13.4,3.7,-1.5,-6.8,-5.9,-2.5,0.7,4.7,8,10,9.5,5.1,0.5,-3.2,-7.7,-3.6,-1.2,3.4,7.8,12.1,15.6,18.9,18.7,13.8,6.9,0.3,-4.6,37,27,20,27,48,52,27,26,23,22,37,44,2,7.3,10,15,17,14.9,18,19,13,5,0,1.1
"Border","site",59.532,-127.791,671,-14.6,-8.5,-0.8,8,14.7,19.7,21.7,19.9,13.8,5.1,-7.3,-13.5,-22.5,-19.5,-15,-5.6,0.4,5.5,8,6.1,1.8,-3.6,-16,-20.6,-18.6,-14,-7.9,1.2,7.6,12.6,14.9,13,7.8,0.8,-11.6,-17,37,30,19,19,34,50,61,51,39,40,37,34,1.8,4,10.8,19,22.5,22.8,15,13,10,5,2,1
"Trench","site",56.155,-124.108,659,-7,-3.5,2,8.7,14.5,18.5,20.1,19.1,14.2,6.7,-1.6,-6.2,-13.6,-10.8,-6.6,-1.9,1.4,5.1,7.3,6,2.5,-0.6,-5.9,-11.8,-10.3,-7.2,-2.3,3.4,7.9,11.8,13.7,12.5,8.4,3,-3.8,-9,44,28,27,20,36,53,55,46,41,54,43,43,2,5.2,11.1,17,22.9,16,15,15,12.1,5,3,2
"Sorrento","grid",50.84375,-119.46875,796,-1.3,1.5,6.6,12.1,17,20.5,24.4,23.9,18,10,2.4,-2,-7,-6.3,-3.3,0.2,4,7.9,10.5,9.8,5.9,1.1,-3.2,-7.2,-4.1,-2.4,1.7,6.2,10.5,14.2,17.5,16.9,11.9,5.5,-0.4,-4.6,63,43,38,40,54,61,50,41,48,54,74,73,1.3,6.3,8.3,14,17,16,17.8,17,11.5,5.6,-0.7,1
