Site,id,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
"Sorrento","site",50.8685889544008,-119.451671522659,506,-2.3,1.1,7.3,14.8,20.3,23.6,27.5,26.1,20.1,12.3,4.4,0,-8.9,-7.6,-3,1,4.9,9,11,10.1,6.4,2.3,-1.9,-5.7,-5.6,-3.2,2.2,7.9,12.6,16.3,19.2,18.1,13.2,7.3,1.2,-2.8,57,43,29,26,33,41,31,33,36,42,47,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Kalamalka","site",50.235700955307,-119.276634080816,486,-1.6,1.6,8.1,15.3,20.6,24.1,28.4,27,21.1,13.1,5.2,0.6,-8.2,-6.4,-2.1,2,6,9.9,11.9,11.1,7.1,2.7,-1.5,-5.4,-4.9,-2.4,3,8.6,13.3,17,20.2,19,14.1,7.9,1.8,-2.4,38,30,20,21,26,33,24,26,32,33,35,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Vernon","site",50.229950432172,-119.320136897136,525,-1.6,1.7,8.1,15.1,20.3,23.9,28.1,26.7,20.9,13,5.1,0.5,-8.3,-6.6,-2.3,1.8,5.9,9.7,11.8,10.9,7,2.6,-1.6,-5.5,-4.9,-2.5,2.9,8.4,13.1,16.8,19.9,18.8,14,7.8,1.8,-2.5,37,31,21,21,28,35,24,26,31,32,34,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PRT","site",50.3870923312565,-119.29182887665,464,-1.9,1.4,8,15.3,20.6,24.1,28.2,26.7,21.1,13,4.9,0.3,-8.8,-7.1,-2.6,1.5,5.5,9.4,11.3,10.3,6.4,2.3,-1.9,-5.8,-5.3,-2.8,2.7,8.4,13,16.7,19.7,18.5,13.8,7.6,1.5,-2.7,43,32,23,22,28,35,25,26,33,38,38,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"PGTIS","site",53.7683909350725,-122.715779753023,598,-4.6,-0.4,5.7,12.1,18.3,21.4,23.8,23,17.9,11.2,2.2,-3.3,-15.1,-13,-7.4,-2.5,2,5.8,7.3,6.3,2.6,-0.6,-6.5,-12.2,-9.9,-6.7,-0.8,4.8,10.2,13.6,15.5,14.7,10.2,5.3,-2.2,-7.7,51,42,32,24,36,53,51,49,53,51,53,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Tolko","site",50.3968272593781,-119.209891311872,522,-2,1.4,7.7,15.1,20.3,23.9,27.9,26.7,21,12.7,4.7,0.1,-9.2,-7.5,-3.1,1.3,5.2,9.1,11,10,6.2,2.1,-2.2,-6.3,-5.6,-3,2.3,8.2,12.8,16.5,19.5,18.3,13.6,7.4,1.2,-3.1,47,35,25,23,30,39,26,27,37,39,41,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"KettleRiver","site",49.2226589402711,-118.933972154881,632,-2.5,1.9,8.5,15.6,20.8,24,29.1,28.1,22.8,14.3,4.1,-0.9,-10.7,-8.5,-3.9,0,4,7.3,9.1,8,4.1,0.2,-3.8,-8.2,-6.6,-3.3,2.3,7.8,12.4,15.7,19.1,18.1,13.5,7.3,0.2,-4.5,36,30,18,23,31,49,18,26,25,29,33,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Border","site",59.532,-127.791,671,-15.2,-9.8,-1.2,6.9,14.7,19.5,21.6,20,14.1,6,-6.9,-14.3,-23.9,-20.8,-15.5,-6.1,-0.2,4.6,6.9,5.1,1.3,-3.3,-15.4,-21.5,-19.6,-15.3,-8.3,0.4,7.3,12.1,14.2,12.5,7.7,1.4,-11.1,-17.9,37,30,18,19,31,48,57,49,39,37,37,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Trench","site",56.155,-124.108,659,-9.7,-6,0.8,8,14.9,19.3,21.3,20.5,15.1,7.9,-0.8,-7.4,-18.3,-15.8,-10.4,-3.8,0.8,4.8,6.9,5.8,1.9,-1.4,-8.5,-14.5,-14,-10.9,-4.8,2.1,7.9,12,14.1,13.2,8.5,3.3,-4.6,-11,37,31,22,19,31,46,52,39,45,38,37,37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Sorrento","grid",50.84375,-119.46875,796,-3,0.6,6.2,13,18.4,21.6,25.4,24.2,18.7,11.2,3.1,-1.2,-10.3,-9.1,-4.5,-0.3,3.6,7.5,9.7,8.9,5.4,1.1,-3.5,-7.3,-6.6,-4.2,0.8,6.3,11,14.5,17.6,16.6,12,6.1,-0.2,-4.3,61,48,33,30,37,48,35,36,39,48,53,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
