Site,id,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12
"Sorrento","site",50.8685889544008,-119.451671522659,506,-2.8,1.9,6.3,13.6,19.3,22.9,26.7,25.5,19.6,11.7,3.8,-0.2,-9.2,-5.9,-3.6,0.5,4.8,9,11,10.6,6.7,2.3,-2.4,-5.8,-6,-2,1.4,7,12.1,15.9,18.9,18,13.1,7,0.7,-3,66,45,29,26,36,42,35,43,39,36,51,71,2,6,10.9,16.8,18,15,24.7,14,8,3,1,1
"Kalamalka","site",50.235700955307,-119.276634080816,486,-1.6,2.7,7.4,14.3,19.8,23.6,27.7,26.6,20.9,12.9,4.9,0.6,-8.2,-4.8,-2.7,1.5,5.9,9.7,11.8,11.4,7.4,2.6,-2,-5.4,-4.9,-1.1,2.3,7.9,12.9,16.6,19.8,19,14.2,7.7,1.4,-2.4,46,30,21,21,27,31,26,34,33,26,35,48,2.1,6.9,12.1,17.1,19,15.9,25,14.1,8.1,4.1,1.9,1.9
"Vernon","site",50.229950432172,-119.320136897136,525,-1.6,2.7,7.4,14,19.5,23.3,27.4,26.3,20.7,12.8,4.8,0.6,-8.3,-5,-2.9,1.3,5.8,9.5,11.6,11.3,7.3,2.5,-2.1,-5.5,-4.9,-1.2,2.2,7.7,12.6,16.4,19.5,18.8,14,7.7,1.3,-2.5,45,31,21,21,29,32,26,35,32,25,35,49,2,6,12,17,18,15,24,13,7,3,1,1
"PRT","site",50.3870923312565,-119.29182887665,464,-2,2.4,7.3,14.2,19.7,23.5,27.5,26.3,20.8,12.7,4.6,0.3,-8.8,-5.4,-3.2,1,5.4,9.2,11.2,10.7,6.7,2.2,-2.4,-5.9,-5.4,-1.5,2,7.6,12.6,16.4,19.3,18.5,13.8,7.4,1.1,-2.8,51,33,24,22,30,33,27,34,35,30,40,53,2,7,11.7,17,19,16,25.3,14,8,4,1.5,2
"PGTIS","site",53.7683909350725,-122.715779753023,598,-6.8,-0.1,4.6,11,16.9,20.2,22.9,21.6,16.5,10.3,1.3,-3.6,-16.5,-11.4,-7.4,-2.2,2.2,6.1,7.8,7,3.5,0.1,-6.3,-12,-11.7,-5.8,-1.4,4.4,9.6,13.2,15.4,14.3,10,5.2,-2.5,-7.8,60,47,35,27,40,64,53,62,58,55,53,59,2.9,5,9.9,15,17,7,17,13.2,8.2,3,3,2
"Tolko","site",50.3968272593781,-119.209891311872,522,-2.1,2.3,7,14,19.5,23.3,27.2,26.2,20.7,12.4,4.3,0.1,-9.2,-5.8,-3.6,0.8,5.1,9,10.9,10.4,6.5,2,-2.7,-6.3,-5.7,-1.8,1.7,7.4,12.3,16.1,19,18.3,13.6,7.2,0.8,-3.1,55,36,26,23,32,38,29,36,39,32,43,60,2,5.9,10.9,16,18,15,24.4,13,7,2.2,1,1
"KettleRiver","site",49.2226589402711,-118.933972154881,632,-2.1,2.9,7.7,14.2,19.6,23.3,28,27.2,22.2,13.8,3.8,-0.9,-9.9,-6.8,-4.5,-0.4,4,7.3,9,8.5,4.3,0.1,-4,-7.8,-6,-2,1.6,6.9,11.8,15.3,18.5,17.9,13.2,6.9,-0.1,-4.4,44,30,19,22,38,39,19,35,21,19,32,48,2,6.3,11.7,16.6,19,17.9,25,16,10,4,2,0
"Border","site",59.532,-127.791,671,-17.5,-9.5,-2,6.6,14.1,19.3,21.5,19.9,13.8,5.6,-6.9,-15,-26.1,-20.7,-16.3,-6.2,-0.2,4.9,7.4,5.7,1.4,-3.8,-15.7,-22.6,-21.8,-15.1,-9.1,0.2,7,12.1,14.4,12.8,7.6,0.9,-11.3,-18.8,36,28,20,17,33,48,61,47,37,37,37,40,1.8,4,9.8,18,19.5,11,16,15,7,3,2,1
"Trench","site",56.155,-124.108,659,-11.8,-4.9,0.4,7.4,14.1,18.8,20.6,19.6,14.2,7.3,-1.7,-8,-19.7,-14.7,-10.8,-3.6,1.2,5.4,7.9,6.7,2.8,-1,-8.5,-14.8,-15.7,-9.8,-5.2,1.9,7.6,12.1,14.2,13.2,8.5,3.1,-5.1,-11.4,41,33,28,19,29,49,53,46,42,40,39,43,2,5.9,11,16.6,18,6,13,15,9,2,3,2
"Sorrento","grid",50.84375,-119.46875,796,-3.5,1.4,5.2,11.8,17.3,20.8,24.7,23.7,18.2,10.6,2.6,-1.4,-10.6,-7.4,-5.1,-0.8,3.4,7.4,9.7,9.4,5.7,1.1,-4,-7.5,-7.1,-3,0,5.5,10.4,14.1,17.2,16.5,11.9,5.9,-0.7,-4.4,72,50,33,29,40,48,39,47,43,41,58,78,1.3,5.3,10.2,16.8,18,15,24.5,13,7,2.3,0.3,1
"Kalamalka","grid",50.21875,-119.28125,395,-1.7,2.7,7.7,14.8,20.4,24.2,28.3,27.2,21.3,13.3,4.8,0.5,-7.9,-4.6,-2.5,1.7,6.3,10.1,12.1,11.8,7.5,2.6,-1.7,-5.1,-4.8,-0.9,2.6,8.2,13.4,17.2,20.2,19.5,14.4,8,1.5,-2.3,45,30,21,21,27,31,26,34,33,26,35,48,2.2,7,12.2,17.2,19,15.8,25,14.2,8.2,4,2,2
"Vernon","grid",50.21875,-119.34375,739,-2.2,1.9,6.3,12.7,18,21.8,26,24.9,19.5,11.9,3.9,-0.2,-9.1,-5.8,-3.9,0.4,4.9,8.6,10.8,10.7,6.7,2.1,-3,-6.4,-5.6,-1.9,1.2,6.6,11.5,15.2,18.4,17.8,13.1,7,0.5,-3.3,47,34,21,21,32,38,27,35,32,26,35,52,2.6,7,12.9,17.9,19.7,16.1,25.1,14.7,9.5,4.5,2,1.9
"PRT","grid",50.40625,-119.28125,548,-2.4,2.1,6.8,13.9,19.4,23.1,27,25.9,20.5,12.4,4,-0.3,-9.2,-5.8,-3.6,0.8,5.1,8.9,10.9,10.4,6.5,2.1,-2.7,-6.3,-5.8,-1.9,1.6,7.3,12.2,16,18.9,18.1,13.5,7.3,0.6,-3.3,54,36,25,23,31,35,28,36,37,31,42,57,2.5,7,12.2,17.5,19,15.7,25.3,14.5,9.1,4.5,1.7,2
